"","X1","X2","X3","X4","X1","X2","X3","X4"
"1","rho","rho","rho","rho","p","p","p","p"
"lh_rostralmiddlefrontal_thickness","-0.185767741842942","-0.156422991413333","-0.120580432672178","-0.228000057506342","0.0285614996725423","0.0659323979289823","0.15737676709218","0.00694525159918125"
"lh_superiorfrontal_thickness","-0.0495198337166259","-0.14703974201491","-0.116580805073906","-0.330530042189324","0.562647573128767","0.0841101924664671","0.171712841537174","7.06796543894495e-05"
"lh_superiorparietal_thickness","-0.199203366220693","-0.132699610245595","0.159758000596661","0.049712144411938","0.0187241487944279","0.119405747223652","0.0602998368359295","0.561129626664816"
"lh_superiortemporal_thickness","-0.282520722344371","-0.126253851541049","-0.221431838914481","-0.124597786438229","0.000752472549985228","0.138605939476893","0.00880144914455228","0.143899598228175"
"lh_supramarginal_thickness","-0.319277337408326","-0.226999691327874","0.089913599216176","-0.037878276110196","0.000127624920442937","0.00720334921798882","0.292512058289849","0.657979474390963"
"lh_frontalpole_thickness","0.105806890641571","-0.098334795522658","-0.229514220256517","-0.0650829670425234","0.215100023547017","0.249454825079645","0.00657020982417045","0.446540405841007"
"lh_temporalpole_thickness","-0.0795950654002391","-0.0521310753581153","-0.0580655501683274","-0.088887608109957","0.351638050696953","0.542205779373759","0.497154345542459","0.298076378024833"
"lh_transversetemporal_thickness","-0.517478870946691","-0.0412116084963047","-0.19188473797047","-0.125023841883833","6.89446277846173e-11","0.630022743635043","0.0236400184917815","0.142523274160715"
"lh_insula_thickness","-0.153066105180788","-0.262064376460776","-0.0416515748656871","-0.169789735245681","0.072027719277139","0.00183044825224576","0.626370476954232","0.045689756480745"
"rh_bankssts_thickness","-0.255126032278293","-0.058178962477403","0.116993111455345","0.131772468342539","0.00243702632151099","0.496313010562289","0.170191785460668","0.122033057620948"
"rh_caudalanteriorcingulate_thickness","0.170771683166309","-0.0943605511608496","-0.102941050807295","-0.133275160791062","0.0444336201381004","0.269196079617952","0.227854505981708","0.117796952663628"
"rh_caudalmiddlefrontal_thickness","-0.229664879190181","0.0814687085393822","0.122062139246543","-0.153741282276545","0.00653389697807794","0.340380182807268","0.152300002274449","0.0707664050474306"
"rh_cuneus_thickness","0.0196306013864232","0.174162787427438","-0.0207310989646511","0.12704631644653","0.818578623830691","0.0403151378037903","0.808598113924967","0.136125892546544"
"rh_entorhinal_thickness","-0.0245594848456218","0.0841694227516711","-0.289217957785479","-0.350665545916954","0.774127154095584","0.324559632163133","0.000554102881663132","2.31480883892132e-05"
"rh_fusiform_thickness","-0.200657740664722","-0.11423279403073","-0.135905526108011","-0.215619733516511","0.0178604449968036","0.180567229197124","0.110657674973221","0.0107963224712573"
"rh_inferiorparietal_thickness","-0.293161005611217","-0.0790466820058432","0.183561610486446","0.0458945018424221","0.000461116665340766","0.354976662780054","0.0305388074062423","0.591623494864782"
"rh_inferiortemporal_thickness","-0.0962581134090021","0.0572817814061204","-0.167590344274269","-0.0812478103717815","0.259641832686089","0.502989115863561","0.0486108977034567","0.341695452618523"
"rh_isthmuscingulate_thickness","0.0813779941730403","0.223178468891936","-0.276838451548084","-0.0991599806644973","0.340919924710991","0.00826933668373031","0.000969857499170113","0.245484681378031"
"rh_lateraloccipital_thickness","-0.126322861003439","0.0218318368007385","-0.0395389783204751","-0.0416968060776184","0.138388613092678","0.798646140332707","0.643988850203994","0.625995512986209"
